Review Text,Rating,Recommended IND,Review Length,Polarity,Sentiment
"This top is really pretty and nice quality. runs big - i went down a size, and its perfect. coloring is more subtle in person than in the photo.",5,1,144,0.2951388888888889,Positive
"I was so excited to splurge on a mara hoffman suit and was sorely disappointed when i received this suit in the mail. i'm petite and fairly curvy, so i knew it would likely be a little long in the torso but the whole suit was so oddly shaped, i couldn't imagine anyone it would fit. the square shape in between the halter pieces is awkward, and the pieces that are supposed to hold your chest are super wide and loose.",1,0,418,0.005941814595660752,Positive
Got so many complements! really comfy but runs big! i'm usually a large and i wish i had gotten the small.,5,1,106,0.15785714285714283,Positive
"I've ordered a pair of these from the catalog and loved them. on my next visit to a store, i picked up another color. i'm now considering getting another pair while the free shipping deal is going on. they are great pants with a great fit.",5,1,239,0.5166666666666667,Positive
"The dress is very beautiful and looks expensive. it will make a nice wedding dress. it does run quite small though. i am 5'2"" and 90-95lbs with a straight figure, but the 00p was too constricting.",5,1,196,0.21000000000000002,Positive
"The blouse is absolutely beautiful. i am 5' and the length is perfect. even though it fit a little snug across the chest, it's a keeper. i'll wear it open on the top with a nice cami underneath.",5,1,194,0.4517857142857143,Positive
"I got both colors as i'm not sure when a style that is so perfect for me will come around again. these are beautifully designed and very slimming. they are described as crops but i am 5'5"" tall and the length is perfect, approximately 1/2 above the heel of my shoe. no alterations required!!! usually retailer pants are extremely long for me but these citizens of humanity cords are the perfect length. the colors are just as pictured-i was surprised by another review that described the navy as",4,1,495,0.29090909090909095,Positive
"I rarely write reviews, but this one deserves one. this top is completely, utterly, adorable! it flows so beautifully, which makes it perfect to wear with leggings/skinny jeans. i wore mine with a blazer for a work holiday party, and i received so many compliments. this top makes you feel so feminine and pretty. i love the maeve brand, and this is certainly no exception! i'd love to get it in multiple colors!",5,1,412,0.44925595238095245,Positive
I am obsessed with peplum down coats because the ones you usually see have no shape and are extremely unflattering. i was excited for this to arrive. this is quite nice and it looks more feminine than the other down coats out there. the coat itself runs just true to my shirt size but not what i want for a coat. i will be returning this for a size up because i will want to wear a sweater or at least maybe a thicker shirt under this especially for winter or fall. the fabric is decent and the weigh,4,1,500,0.02927350427350428,Positive
"Love the aqua print, which looks vaguely japanese to me. the quality is good, but unlike the other reviewer, i had to size up. my usual size x small was too tight. wish there were more colors.",5,1,192,0.11205357142857142,Positive
"Height: 5'2""
weight: 118-120 lbs
bust: 34b or 32c
waist: 27""-28""
hips: 37""-38""

i like this dress a lot, but it would have required tailoring the skirt. i'm petite, but for whatever reason most regular sized clothing fit me well, and petites clothes are usually too short in the arms or legs for me. the midi length is better suited to taller women. in the photo it looks like it hits just below the model's knee, but on me it hit below the fullest part of my calf.

i ordered the 0 and the 2",4,1,500,0.19166666666666665,Positive
"I got this top in an xs and the fit is great. the top is a little darker than pictured. it looks great with white, kaki and denim.",5,1,130,0.4017857142857143,Positive
"I purchased this early in summer and have worn it a lot. you can dress it up or down, and since it's comfortable you will want to wear it a lot. i can wear it for everything from walking the dog to going out to dinner.. i bought 2 jumpsuits this summer and this is by far my favorite. the fit is flattering, fitted but not tight and the self-tie belt gives your waist definition so the overall look is hourglass. i am tall and i normally take an xs or s. i went with the s to ensure that it was long",5,1,499,0.15337301587301586,Positive
"Adorable suit, super cute print and great quality, but unfortunately not as flattering as other reviewers noted. i found that the white pattern accentuated the wrong areas and the ruffle feature was a bit over-the-top. the straps are also very thin and didn't offer too much support.",3,0,283,0.0853030303030303,Positive
"I love the perfect length of these! i am 5'6"" and i love subtle capris which are very hard to find (unless i tailor them of course) but these are the perfect length and the color is great i have worn them twice and was stopped over and over again by people asking who made them. new favorite!! the waist runs a little tight but legs and tush are true to size!!",5,1,360,0.34882643398268404,Positive
Just received this dress and i am in love! the colors are beautiful- perfect for both summer and fall. the fabric is very soft and the fringe detail adds a nice feminine touch. i was disappointed when i missed out on the first fringe stripe shift dress from holding horses at the beginning of this summer. it was completely sold out in my size 0. however when i saw they restocked the dress in a new color (and now lined yay!) i had to buy it. would defin recommend!!,5,1,467,0.3412594696969697,Positive
"You have to give this dress a try - yes, it runs small - i'm usually a 4 in retailer dresses. / 32dd 5'5"" 130lb - i couldn't button the top button with my bra on but i could without it on - it fit perfect every where else. it is very flattering in every way. it's 100% cotton, lightweight, and soft. the flare does not have too much fabric and is actually slimming unlike other fit and flare dresses. the sz 6 fit more comfortable and i could wear my bra which looked better and gave my breasts a lift",5,1,501,0.26499999999999996,Positive
Made my wedding outfit perfect!,5,1,31,1.0,Positive
"I bought this shirt in a size 10. i am a 32 4d and it fit perfect, but wanted it to fit flowy as it does on the model...so sizing up to a 12. very nice quality fabric...not sure how it will be after it's washed. looks just like the picture. i bought the ivory color.",5,1,266,0.616,Positive
"I absolutely loved this dress and when i received it, it was exactly the way it looked/fit online. the material is so pretty and the fit was amazing. it was a bit wrinkled, but i'm used to ironing things, so that didn't bother me. unfortunately, i had to return it though because of the color. i'm filipino, and this yellow just isn't flattering on someone with dark/tan skin. yellow is a tricky color for me to begin with, but this was more of a mustard yellow and just totally wrong for my coloring",4,1,500,0.15454545454545457,Positive
"I tried this top in xs in store.  i loved the macrame  detail and quality of fabric.  it billowed out too much below the chest and looked tent like.  my daughter laughed when she saw me in it- so did i!  i didn't buy it.  i'm 5'2"", 115#.",3,0,237,0.56875,Positive
"Bought this in cream in my usual xs/0, (5'7"", 32b, 115lbs). it is a very flattering summer weight cardi which will work well with jeans and maxi dresses this summer. i would point out however that the sleeves are very snug - if you don't have thin arms then you may have to consider sizing up. i stuck with the xs even though i had to carefully pull the arms on because the s was just a little looser in the back. the sleeves are meant to be form fitting but i think they have been designed a little",4,1,499,-0.024999999999999998,Negative
"I bought a pair of these a month ago and first time i washed them they came out with light spots all down the leg. i figured i did something wrong so i bought another pair in the same color and one in sage. just washed both pairs according to care instructions (no spills, stain remover, or anything but detergent) and both came out with light spots all down the leg. very sad to have wasted all that money.",1,0,407,-0.06790123456790124,Negative
"Vibrant, lovely and quite long! this maxi works for leggy bettys - i stand 5'11"" in my stocking feet, and the dress hem grazed the floor. not quite as voluminous as the photo suggests, but stunning nonetheless. runs a bit small. i normally wear xs to s, and i tried a xs in-store, but it fit just ever-so-slightly too snug. i didn't try a size s, but i suspect it may have fit ever-so-slightly too large.",5,1,404,0.22427248677248673,Positive
"Awesome pants. they look a lot better in person than in these pictures. i got it in dark blue. they are very comfortable, and can be used day to night. if you like cropped pants and wide legs this one is a good option. it's a bit more dressy than other models, still look casual and fun. i may end up getting a couple more for myself...",5,1,336,0.2620833333333333,Positive
"I tried on the white top at the store. the quality was very good and i loved the overall concept of the design. the dark stripes on the back are slightly raised, giving it a nice texture. the fabric was soft and comfortable. however, the shape just didn't drape as well on me as i had hoped, so ultimately i didn't buy it. perhaps a petite length would have fit me better.",4,1,372,0.27095238095238094,Positive
"High quality, great color, loved the neckline. unfortunately a little too snug on me so it showed my bulges on waist and back. not too snug if you don't have that problem. i loved this shirt but had to return it.",5,1,212,0.36208333333333337,Positive
I sized down to an xs based on reviews and the fit was perfect. i am 34 b and usually take a small. i like the classic lines with the sexy edge. this is a heavier sweater but perfect for our houston fall and winter. if you size down the sweater has a much nicer fit to it and is not at all loose fitting. it just skims your curves.,5,1,331,0.2522024983563445,Positive
"I tried this on in the store and the colors and fabric are terrific. it's very light-weight fabric but isn't see-through. the colors are medium in depth, not too bright. if you typically wear ""cool"" colors and avoid browns, you may be able to wear this because the brown is very muted. there's two strings inside that you tie around your waist to pull the bust of the dress in. i'm 5'4"" and 125 lbs, so there's simply too much fabric in the dress. i would have bought a petite. the tag says it's avai",3,0,500,0.22037037037037038,Positive
"This skirt is really beautiful but i agree with the other reviewers; it runs very small. i'm typically an 8 or 10. if i get a 10, there is usually a bit of room in the item. i decided to get a 10 in this skirt, just in case. i got it zipped but would have trouble breathing as the evening wore on. the pockets are wonderful and the fabric is weighty and really lovely.",4,1,368,0.16041666666666665,Positive
When i returned this the salesperson asked what was wrong w it bc it keeps being returned. i got the black w the white collar/cuffs. i thought it was terribly itchy material (which could be remedied w a shirt underneath) but the white collar part was such a dull ugly white-dirty color. maybe the other colors are better?,1,0,321,-0.22833333333333333,Negative
"This is a great everyday dress. i bought it in black and it looks cute with wedges. it's a little boxy but that also makes it super comfy so i don't mind that too much. definitely order one-size down if you're between sizes. you may want to consider petite, if it's available, becuase i found it to be a bit long for my taste. (i'm 5'5"" and it hits at the knee). i've already worn it a few times and have had received several compliments.",4,1,438,0.08946759259259261,Positive
"Love the fit of this dress! i'm 5'2"" 120 and the petite extra small fits perfectly. the waist is slimming and the cut is not too low. also great pattern.",5,1,153,0.36428571428571427,Positive
"It's funny because i coveted this top online for weeks, but looking at the reviews i kept thinking that it would look ridiculous on me. i am very busty and do not like things to cling or be too tight. however when i went into the store today i tried on both the cream and the black in larges, and both fit beautifully. i decided to go with the black just because i thought that i would get more use out of it. i find that it fits well, though perhaps the sleeves because of the elastic are a tad bit",4,1,499,0.18547619047619046,Positive
"Is this dress ever flattering! i have seen many variations of this kind of dress-some where they will kris-cross over the breast area, some where they will have a single twist-but i never have seen one like this with a double twist and oh, what a difference it makes. i particularly love this in blue-which was a very bright royal color in-store. i am not very chesty, so the accenting in that area is very flattering on me and made me fall in love.",5,1,449,0.33761904761904765,Positive
Love this top! it is super flattering with a long floaty body. i usually wear a 4 but sized up to a 6 due to the reviews and am happy with it but think a 4 would have fit as well.,5,1,179,0.2791666666666667,Positive
I love the colorblock color combo. the colors are neutral enough to go with so many things yet still be unique and stand out. the fit was perfect. i took my normal size medium.,5,1,176,0.4178571428571428,Positive
"I love this top! it falls in a romantic and easy way.  it's very flattering and looks great.  i just had a baby two weeks ago so it hides my insecurities and post baby bump.  i had many compliments and felt so comfortable, so ordered it in the green color.  i wish there were more!!",5,1,282,0.4039583333333333,Positive
"It is very hard to find a great midi denim skirt. pomona's is very stylish, well made, and looks great on. i had to exchange my size 10 for a size 12 and am awaiting its arrival, remaining hopeful it will provide a better fit. first time in my life i have purchased a 12 so can't say for sure whether the skirt runs small or i am now running larger. i recommend this skirt.",5,1,373,0.32708333333333334,Positive
"My wardrobe craves lush detail-rich dresses like this beautiful maxi.  knowing that the dress is expensive and made of all synthetic fabric, i took the plunge and purchased the largest of my size range.  i've noticed that most indian labels commissioned by retailer fit tighter in my chest/shoulders, so i'm glad i trusted my instincts and bought the 12p as it fits perfectly on my 36dd chest and wide shoulders.  this is not a casual dress--there are sequins, beads and rosettes decorating the bodice.",4,1,502,0.3333333333333333,Positive
"I ordered the sapphire.............it is simply beautiful!
love love love.
superior hunter style and quality which never disappoints!",5,1,135,0.675,Positive
"I ordered this top online during the mother's day sale, thinking i had found the perfect white staple tank i wanted for summer. i had this top on for barely five seconds before i knew it was going straight back. the quality of the fabric and the overall design are both very good. but the problem is that the top comes with an under-layer up top. this is normally a good thing; extra coverage in a sumer top generally means you ca go braless. the problem is that the top layer of the shirt is so shee",1,0,500,0.369375,Positive
"You have to try it on to see, it fits really well and looks stylish. i love it.
my only concern is the fabric is rather stretchy, not sure if it will hold up well in the long run.",4,1,180,0.15,Positive
"Just bought this today and i love it. so simple, and at the same time it's not. the fabric makes it casual to dress up or down, but the shape of it is incredible and what takes it above simple. the straps felt a little long, so i will likely get it altered to be shortened in the straps. got the red and it's gorgeous.",4,1,318,0.09284188034188033,Positive
"According to the sizing chart i should be an 8 or 10. i ordered a 10, but i could not get the blouse zipped up around the ribcage, the one spot i don't keep any fat. i brought it to the store to exchange for a 12, but i couldn't breath with the 12 on. for reference i am 34ddd. it was the 34 part that didn't fit, the ddd would have fit fine, i think.",3,1,351,0.4055555555555556,Positive
"I got the floral suit and honestly, it's the most beautiful bathing suit i have ever owned. i have yet to wear it to the pool or beach so i don't know how it holds up when getting wet. i can see where other reviewers have said there is no support in the chest. it is padded which is nice, but no underwire or anything to hold the girls up. if you are big chested this could be an issue - not so much for me. :) looking forward to wearing this suit when the weather gets warmer!",5,1,477,0.35000000000000003,Positive
"This dress had so much potential but the horizontal knit ruined it. i tried on size xxs in grey since my usual petite xxs size was not available. the fabric was a good weight and dress was well constructed. however, the wide horizontal knit made the dress bulge out at places especially in the lower body thus made me look wide and bulky. i wish they had used a cable knit pattern which will make the dress drape much more nicely and more flattering.",2,0,450,0.14545454545454545,Positive
"I ordered this top online. i had been wanting an off-the-shoulder top in a neutral color and when i found this one, i had to have it! i thought the price was great. when i received it, i was impressed with the quality of material. it fit me a little more tightly than some of my other tops, but was very satisfied with how it looked on my body! i got it in a size small. i do agree with others on here, the shoulders were a little more difficult to keep folded down...but overall...i am truly satisfi",4,1,500,0.2649234693877551,Positive
"I loved the moss so much, had to go back to get the gold. these chinos look wonderful on. they can be dressed up with pumps and a blouse as well as dressed down with sneakers and a t-shirt. very versatile.",5,1,205,0.32407407407407407,Positive
"I own a couple of pairs of natori hipsters and recently purchased the yellow to go with the front close natori bra. i tried to wear thong panties but they just didn't work for me. thankfully, natori makes these lovely panties that still make me feel sexy and they are way more comfortable. they also receive rave reviews from my husband. : )",5,1,341,0.375,Positive
"Nice quality, soft fabric, sleeves definitely make a unique statement. the fit worked for me, although it could have more room in hips (for my hourglass figure). got m, size l was way too big. i am 34d, but the dress can definitely accomodate bigger chest. the color are my favorites in this season.
wear it to stand out!",5,1,321,0.21944444444444444,Positive
"I bought this top in 2 colors -- white and light green. i really like them both. the shirt is a nice weight and texture and the soft green color is really nice. the fit is true to size. i am 5'-6"" and 145 lbs. and the medium was perfect. i like how the back dips in a slight v as well.",5,1,285,0.255952380952381,Positive
"This jacket is a perfect, lightweight cover for dresses as shown online, but will also look great with jeans and tops. the embroidery looks amazing and is high quality. the tie in the back can make the shirt a little more form-fitted. while its a masculine style, its has feminine details and fit. this is my third hei hei jacket, the sizes between them are consistent (i'm 5'4'', 125lbs. 34c and i wear an xs in this jacket) - each one i've worn a million times!",5,1,463,0.335,Positive
"This is a really cute top. it's boxy but it's cotton eyelet so you shouldn't expect form fitting. if you are in between sizes order a size down. i'm a 36 ddd and usually have to wear large with retailer brands, however, the medium fit fine, it doesn't pull in the back or shoulders. the cotton material is thick enough that you don't have to wear a cami underneath if you don't want to. it's also long enough that your stomach won't show through the bottom eyelet band.",4,1,469,0.13656898656898656,Positive
I like this shirt. it's quite lovely. i ordered it in mint. it's nice to have a dressy t-shirt.,3,1,95,0.55,Positive
"I loved this dress after seeing it online.it is a pullover dress, and is easy to get on. my major problem with the dress is that the waist is extremely high (about 3 inches over my natural waist), and i usually have no problem with the placement of the waist in dresses. i'm going to keep the dress because i like everything else about it: the fit is flattering and the dress will be seasonless here in california. i""ll search for a wide belt to cover the waistline, or perhaps skip a belt altogether",5,1,500,0.18822916666666667,Positive
"Got this in the petite xs in mint; the color is gorgeous, it's a really bright mint that complements my super fair skin really well (though it would work for pretty much any skin tone). it's still a good length in the petite for the type of shirt it is (5'1 and hits right around my lower hips). it is a thinner fabric, but that's what i was expecting, and the lace detailing at the bottom of the sleeves is a nice touch and makes it more than just a plain henley.",5,1,464,0.4128968253968253,Positive
"I tried on this dress in the portland, me, store today. so much good to say about it: the wine color is deep and rich, the fabric hand is similar to a heavy weight silk, the cut of the dress so flattering.
but, i didn't get it. i am 5'2"" and weigh 135 lbs. i can sometimes wear a medium, but my upper arms and hips can require a large, usually petite for proper length. the store didn't have a large (i didn't even realize the dress also came in petite), so i tried on a medium. nice fit through the",5,1,500,0.17113095238095236,Positive
"So cute, so comfortable, so pretty - so i guess i love everything about it. it is not too short on me and i think you can wear it in many ways... thought of adding a vest - thought of boots - can't wait to wear it. i agree the material is substantial so it isn't flimsy for fall or winter. happy with this purchase. runs true to size. i went with the op. i sometimes chose regular length, but this one is just right in the petite. i have long arms but these sleeves are just right. i am 5 ft. tall, b",5,1,500,0.318452380952381,Positive
"Well - i was disappointed in the fabric for this dress. it is a heavier material and i suspect will not be very cool / comfortable during warmer weather when i would normally wear a sleeveless dress.
on the upside - the pattern is really pretty.",3,0,246,0.101,Positive
I wanted to love this dress because the fit is so flattering and the color is so great however i could not get the button along my bust to lay flat. normally this can happen if the fit is too tight around the bust but i promise there was still plenty of room. the fabric just bent in a way that left a gaping hole at my bust. unfortunately it's going to have to go back.,3,0,370,0.15464285714285717,Positive
"This is a lovely top! sooo soft, very flattering draping if you have a bit of a tummy. i wasn't sure about it on the hanger but was pleasantly surprised when i tried it on- very glad i have it a chance!",5,1,202,0.40535714285714286,Positive
I saw this sweater at the store and instantly love it. it run large. i am 5'8 and 120 pounds and usually a size s in most retailer tops. i had to go with xxs on this one so def size down.,5,1,187,0.16174603174603175,Positive
"Such a beautiful top, i understand why other reviews suggested wearing it out. personal i love pretty sleepwear, so i will be wearing this and matching shorts to bed. i ordered a small in both and they seem to run true to size. i am 130lbs and 5'5"". my regular size is small or a size 4. i love the embroidery and the pink!",5,1,323,0.16923076923076924,Positive
"This is a beautiful top! it fits like a glove, very flattering.& got lots of compliments.
i am 5'4"" and 125 lbs, i bought size medium. love it! worth the money:)",5,1,162,0.5166666666666666,Positive
I'm a slightly pear shaped girl. a c chest with size 14 hips. the dress fit great around my waist and would have been perfect except the space in the chest area was too big. it looked odd on me with all the extra fluff in the chest. fabric is nice and flowy. the dress is lined.,4,1,278,0.2629629629629629,Positive
I thought this would be cute with leggings based upon the length on the model. i forget that the models are almost 6 feet tall. this has a polyester slip goes under it that snaps onto the shoulders. it came down to my knees and was completely like a sack no leggings and boots with this one. lovely material but not at all figure flattering.,2,0,341,0.2361111111111111,Positive
"I love the fabric, since it's fall wasn't expecting it to be light. but its not heavy either. just the right balance.
this is one of those classics. i love the collage like pattern of the fabric.
the fit is true to size and looks great with bootie/boots. (dressed up or down).",5,1,278,0.35335097001763666,Positive
"But like other reviewers said, it looks nothing like the picture of the model. i am 5'3"" and 110 lbs, i usually wear an xs in maeve and i ordered the xs petite - the straps are not adjustable so the top part of the dress is up too high and then there is just so much material, it looks like i'm 6 months pregnant. and i usually love loose dresses like this, but the way this falls really does make you look like you are hiding a sack of potatoes. so bummed, because the material is beautiful and i lo",2,0,500,0.22914102564102565,Positive
"I'm always on the lookout for pieces that look polished, but aren't fussy. this is *that* blazer. i'm rather petite and bought the xs, though wish they had the petite in store to try on as xs is not very fitted on my frame. the perfect weight for 65 degree summer days.",5,1,269,0.45,Positive
"I purchased the blouse in both the ivory and black. the black i decided to keep because it will go with anything. i was hoping the ivory blouse would work but it's thin and see through. if someone could please tell me where i could find a casual, white or ivory blouse that is not entirely see through i would greatly appreciate it!",3,0,332,-0.03333333333333334,Negative
"I love sundry clothing. this lightweight fleece is the perfect weight. it keeps you warm enough when it's cold, but not hot when it is milder. it's super soft with nice embroidery. size 1 is a great fit for my 5'1"" frame. wear it to hang at home or to go out.",5,1,259,0.328030303030303,Positive
"I really wanted this skirt to work but it didn't look very flattering on me. a great midi length and very cool pattern, so hopefully will work for others!",3,0,154,0.44218750000000007,Positive
I love this poncho/sweater. it feels cozy and looks really cool. can't wait til the weather cools down so i can wear it.,5,1,120,0.12361111111111112,Positive
"I love any bow tie tops but most have the bow too high up which looks dowdy. i love the layered look and the contrasting colors. i am 100 lbs, 5'3"" and got the regular xs. i wanted the petite xs but it was sold out unfortunately. the regular was a little too big but it still works! looks great with jeans or dress pants....even a skirt! very versatile and classy and creative styling.",5,1,385,0.16232142857142856,Positive
"When i ordered this little jacket i knew i would like it, upon arrival i fell in love. it is a little edgy with leather detailing and with stretch in all the right places, the crop is super flattering. appeared online to be a bit more of a sweatshirt material but it has so much structure and holds its shape!",5,1,309,0.14925595238095238,Positive
"As others stated, it was a tad bizarre to have a mock neck on the spring dress, however, i would wear this in the fall with boots and a nice moto jacket. another ""but"" is i wasn't sure about the color. i am very pale and the pale color is pretty much my skin color... however, the blue flowers and black lace make up for it as far as colors, and everyone liked it on me. lastly, cut: wow, this was just really nice on, very flattering,. i usually try on regular size in store and order petite, but th",5,1,500,0.15590196078431373,Positive
"This skirt is absolutely beautiful. the design and organza are so feminine, and i love the length. it flows beautifully and it isn't stiff or anything, but it does hold its shape well. i ordered it through the store, and the wrinkles came out easily after it hung for several days. i think it would be easy to snag the material, so i will be really careful when i'm wearing it. the zipper is a little hard to pull all the way to the top of the skirt, and i worry a little about the hook and eye closu",5,1,500,0.21547619047619052,Positive
"Really like this dress but.....
the dress is lined in a heavy fabric and weighs a lot for a summer dress
worst of all there is no chance at all of getting the buttons through the button holes.
impossible!
has to go back",2,0,223,-0.36666666666666664,Negative
"I bought this dress to use for maternity photos and it is perfect! i love the flow of the skirt and the elastic waistband worked perfect. i was able to fit in a size 2 (normally a size 0) so i hope to be able to wear it after pregnancy as well. i was worried about the bust area being too small, and while it's a tight fit for me currently it still worked.",5,1,356,0.36558441558441557,Positive
"This is quite an odd dress. it does wrap and is beautiful material. however, the dress does not close at all in the chest area. i thought perhaps it was meant to be a kimono. it will go back for sure.",1,0,200,0.29583333333333334,Positive
"I was so excited to receive this jacket - have been looking for a ""leather"" jacket for a while and thought this would be the perfect one. unfortunately, i have broad shoulders and it seemed a little tight. i got my normal size s based on retailer shirts. maybe if i got the m? although, the s fit well in the waist, so... also, my small chest (32b) didn't fill out the darting in the chest area. one last wish, was that it was a little longer. 
as with all hei hei, the inner lining was very cute. ove",4,1,502,0.1026098901098901,Positive
"I purchased the blue version in store. it's a nice royal blue, not navy. (although the it could be worn with navy.) i thought the fit was flattering. the middle piece (pleat?) is less obvious on the blue than the purple. the tie at the neck can be untied and it is still not too low cut.",4,1,287,0.0925925925925926,Positive
Cute but classy top because of the embroidery at the bottom!,4,1,60,0.4083333333333334,Positive
Nice color and great work but runs little large.,3,1,48,0.3566964285714285,Positive
"I got the red- it is a great color. this is one of those thin soft t shirts. it drapes really nicely and dresses up or dresses down. the only downside for me is that it takes a little extra effort in the washing department, but really not much- just have to line dry.",5,1,267,0.053661616161616174,Positive
"I've admired the various iterations of this dress and finally found one in the sale room, much to my delight! i'm generally a sale shopper, so this doesn't mean i didn't think it was priced well. i have the oatmeal top with yellow/gold/orange pattern on the skirt in xs. the small fits comfortably up top, but on my petite frame, the top just looked too big, so i went with xs. i suppose the straps are a bit confusing, but their easy to figure out if you just look at them for a moment before puttin",5,1,500,0.11423611111111111,Positive
"This shirt is beautiful, however i thought that it was made of a softer, lighter material. it is, instead, made of a thick, heavy material that was unflattering for my shape. ( short torso ann's large bust) it made me look boxy and chunky in the middle. sadly, i'll be returning it.",3,1,282,0.009183673469387754,Positive
"I get a lot of compliments on this dress, it's bright and cheerful for sure! it runs maybe a bit large but is a great summer dress!",5,1,131,0.5878571428571429,Positive
Love this skirt ! i thought it would be much shorter but when i tried it on it was the perfect length and super cute!! the material is thick but not uncomfortable and very move able!,5,1,182,0.41273148148148153,Positive
Love these jeans! the material is soft and very flattering on the hips.,5,1,71,0.30833333333333335,Positive
Size down on this top. bought it online and when i took out of the packagei quickly put it back in. you could have put 4 of me in the xs. i think even an xxs would be huge. extremely boxy!! i recommend it only if you can find the correct size.,4,1,243,0.12606646825396825,Positive
"Beautiful, unique design. it's very flattering the way the fabric hangs.

i usually wear a 10, but because the lining is much smaller than the dress (which many linings are... it's a pet peeve of mine), i sized up to a 12 and took in the shoulders a couple inches so the bodice area would sit correctly on my bust. otherwise in the 10 my stomach would feel squeezed even if it looked like it fit perfectly. that said, i'm very sensitive to that kind of thing.

other reviewers have noted that the emb",4,1,500,0.33454545454545453,Positive
I loved the color and style then put them on and didn't take them off! they are so comfortable cane believe it. they are going to be my fall staple,5,1,147,0.6375,Positive
"I love this top, but i do need to wear a navy cami underneath.  as the pic shows, the lace in the mid section makes it completely sheer in place... kinda odd placement in my opinion. but if you don't mind the sheerness or a cami, it's a great top.",4,1,247,0.30476190476190473,Positive
"Bought this dress in the blue and absolutely love it! it looked big in person, but when i tried it on it fit perfectly. i'm 5 foot 120 lbs and got the petite small. the colors are vibrant and will really stand out. cant wait to wear it!",5,1,236,0.2739583333333333,Positive
"So i'm not sure if its just my body type or what, but this did nothing for me. the bottom, which i thought would be too big was actually too small in both the small and the medium (i'm a size 8 bottom) and then when i sized up to the medium it was still too tight and then the top was loose. i just think this one is going to take the right body type. it could look really beautiful on the right person, just not me.",2,0,416,0.08326673326673327,Positive
"This tunic could be great but there is some weird construction going on at the armhole. first of all, the armhole is way too low! second, there is a totally unnecessary side seam zipper under the arm. since this is a tunic it slips over the head no problem. no need for the side zipper, it adds bulk and distorts the way the fabric should hang at the side.",2,0,356,0.025000000000000005,Positive
This top is such a great investment piece. looks classy and is comfortable all at the same time. it is pricey but you will not regret buying this. goes great with light trouser denim or i have the green pilcro khakis. it will he something you will keep in your closet for a long time.,5,1,284,0.275,Positive
I liked the color of this top but i didn't really like the ruffled stitching around the middle. it looks like someone just tacked on the bottom half. i bought this for my daughter and she likes it. i think it is comfortable and a good top to knock around in.,3,1,258,0.3416666666666667,Positive
